countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR,workers,gdp_per_worker
ARG,Argentina,Argentine Peso,2005,385129.22,375279.44,38.681174,13.987501,1840.9,2.764784,385129.22,375279.44,1.6138954e6,0.5195682,375279.4179550025,1.6138954e6,1.0,0.39775944,2.9036575,0.4756744,0.48815918,1,1,0,0,0.827094864628918,86.1111111111111,0.6735025,0.19995864,0.09245013,0.15107954,-0.11345766,-0.0035331638,0.4445752298642711,0.5095653145311255,0.6289307317617918,0.70738053,0.673785,0.44092122,0.15991123,23.295371985559463,16109.61343448954
AUS,Australia,Australian Dollar,2005,724453.1,730370.9,20.40352,10.0830345,1734.76,3.3326728,724453.1,730370.9,2.4470248e6,0.8898322,730370.875,2.4470248e6,1.0,0.5818398,1.309473333333333,1.048649,1.0401524,1,1,0,0,0.8718143623255346,,0.5619446,0.29321802,0.15138006,0.20954023,-0.21865535,0.002572447,1.0450902452339557,0.984766303099817,1.1855982955599005,0.69099295,0.74466103,1.0866791,0.06556894,8.531940006332398,85604.31443000295
AUT,Austria,Euro,2005,273588.88,274590.88,8.232196,3.8740556,1764.27,2.7915232,273588.88,274590.88,926194.2,0.97819835,274590.8836774169,926194.2,1.0,0.6114706,0.8041200000000001,1.1147513,1.1106837,1,1,0,0,0.8804331485838606,,0.58316594,0.24165809,0.13262421,0.5682949,-0.57209367,0.046350546,1.047666332704211,1.043804880567426,1.5390066382801668,0.7543933,0.7635668,1.2024993,0.0055557936,3.19845033637476,85851.22359949828
BEL,Belgium,Euro,2005,329908.72,328196.9,10.414209,4.284497,1562.8,3.0290415,329908.72,328196.9,1.0554954e6,0.9933827,328196.91301003104,1.0554954e6,1.0,0.6131036,0.8041200000000001,1.1438029,1.1497687,1,1,0,0,0.9170755659658729,,0.5424493,0.2601979,0.16303013,1.22383,-1.1895074,1.5425355e-16,1.0907787029583322,0.9691409830036926,1.5989919997665898,0.739167,0.722476,1.0784687,0.0032229307,4.029219677698373,81454.21012077386
BGR,Bulgaria,Bulgarian Lev,2005,69702.59,75244.695,7.739115,3.6307733,1658.63,2.8686187,69702.59,75244.695,159768.45,0.5895809,75244.6969668204,159768.45,1.0,0.47471398,1.574133333333333,0.41453943,0.38400674,1,1,0,0,0.739706355564995,81.11111111111111,0.59140664,0.19858904,0.2761365,0.23215751,-0.3696845,0.07139485,0.4494587700148096,0.5327680527684973,0.2547255130750161,0.67202383,0.65293115,0.44588643,0.045619406,4.0652489077600835,18509.246793933504
BOL,Bolivia,Boliviano,2005,30282.469,28704.566,9.146654999999999,3.3830354,,2.8066876,30282.469,28704.566,73307.44,0.31972712,28704.567570848132,73307.44,1.0,0.514479,8.066062500000001,0.31533492,0.33266905,1,1,0,0,0.5680034654600926,67.77777777777777,0.7005566,0.11838758,0.19958489,0.14125791,-0.14677286,-0.013014082,0.3149181246115807,0.400527367351485,0.2662644391425621,0.68991154,0.5561985,0.2969313,0.43208486,4.440893251514733,6463.69205034578
BRA,Brazil,Brazilian Real,2005,1.383634e6,1.3722898e6,185.986964,89.62329,1841.0,2.3536806,1.383634e6,1.3722898e6,5.2985705e6,0.41556656,1.37228975e6,5.2985705e6,1.0,0.52448565,2.434390036231884,0.6374836,0.6427534,1,1,0,0,0.8256447717975121,82.22222222222223,0.609642,0.1791221,0.18312071,0.13428783,-0.10617261,0.0,0.6354781107813617,0.5815193119216344,0.6989023879509875,0.7241016,0.6974041,0.5028756,0.08219499,88.43947072672535,15516.711471966222
BRB,Barbados,Barbados Dollar,2005,6516.8423,6595.396,0.270503,0.12873344,1764.27,2.8095834,6516.8423,6595.396,5183.266,1.2217759,6595.395831286906,5183.266,1.0,0.7535966,2.0,0.5996922,0.59254974,0,1,0,0,,,0.88367766,0.06798884,0.12682295,0.07537775,-0.39773825,0.24387102,0.495238314496744,1.653719714834779,0.7624506944509261,0.7266309,0.6373277,2.4283922,0.0024856422,0.06665285786324739,98951.43595531369
CAN,Canada,Canadian Dollar,2005,1.1429745e6,1.1471585e6,32.283412999999996,16.132248,1749.22,3.389335,1.1429745e6,1.1471585e6,2.8244178e6,0.98254216,1.1471585e6,2.8244178e6,1.0,0.5772088,1.211763333333333,0.9919353,0.98831755,1,1,0,0,0.9038276229126448,,0.56445974,0.24386142,0.15050463,0.41463783,-0.37045965,-0.0030039551,0.9672709032456432,0.894654045717128,1.2420621375805772,0.75801104,0.7399102,0.97749895,0.06675793,13.649142373381077,84046.19635569333
CHE,Switzerland,Swiss Franc,2005,272982.53,287505.0,7.415006999999999,4.225936,1651.74,2.8664546,272982.53,287505.0,868728.4,0.97604764,287505.0046358423,868728.4,1.0,0.7278039,1.245176666666667,1.4094492,1.338255,1,1,0,0,0.9055822130196871,,0.568888,0.24268553,0.07483033,0.62316847,-0.56469095,0.055118576,1.4087300136094898,1.20564964535561,2.0758682240191613,0.73078275,0.77962947,1.426503,0.0021230793,2.018336091151893,142446.54359617425
