countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR
ARG,Argentina,Argentine Peso,1970,70773.49,72669.375,23.983358,9.226805,2006.0,2.1552858,69792.195,71862.75,132763.0,0.46556866,195386.67481026953,751553.2,1.0565464,0.508584,3.791666665666667e-11,0.4493465,0.4363997,0,0,0,0,,,0.72255105,0.16459009,0.07914577,0.09977966,-0.06841453,0.002347975,0.3950621460836907,0.640839263580997,0.5467038239618889,0.24728891,0.3434513,0.7219165,0.010078696
ARG,Argentina,Argentine Peso,1971,74619.64,75294.34,24.376109,9.326039,2002.66,2.1793764,73370.43,74285.38,139764.89,0.46611968,202735.47773718374,787330.4,1.0596932,0.508584,4.521666665666667e-11,0.5113085,0.5050109,0,0,0,0,,,0.7245356,0.17328805,0.08083466,0.07807924,-0.06867905,0.011941534,0.45536170660755537,0.6939102976690333,0.6213203208376228,0.30005166,0.36173847,0.76637864,0.009884402
ARG,Argentina,Argentine Peso,1972,76231.03,76562.56,24.791983,9.411068,1999.33,2.2037363,74590.13,75173.83,148561.12,0.44943976,206947.7190872257,822257.5,1.0480636,0.508584,8.087324428846435e-11,0.4647777,0.46116892,0,0,1,0,,,0.7230729,0.17420103,0.07992063,0.049196415,-0.040893137,0.014502158,0.41902122505683415,0.6268742338783172,0.5254367023918353,0.3244977,0.38298404,0.6926791,0.013205187
ARG,Argentina,Argentine Peso,1973,80313.5,79903.07,25.222223,9.497256,1996.0,2.2283683,78235.56,78910.19,159149.2,0.44738376,214696.1320218527,850629.2,1.0583829,0.508584,1.266798288653872e-10,0.48518455,0.48103657,0,0,1,0,,,0.71223235,0.15472583,0.08170963,0.053135276,-0.034237612,0.032434575,0.43052322480514654,0.6444729017263249,0.6600176570696556,0.3074414,0.32655844,0.7349278,0.020240325
ARG,Argentina,Argentine Peso,1974,83475.28,82468.25,25.654154,9.547944,1992.84,2.2532759,81866.266,82536.66,169377.2,0.47148362,226302.41516704892,879789.75,1.0881362,0.508584,1.510457656654492e-10,0.53311807,0.5287879,0,0,1,0,,,0.728871,0.15939456,0.085150704,0.0538253,-0.043609567,0.016368004,0.4585824295742356,0.7273259402032586,0.8075867069448303,0.2928853,0.33427787,0.850263,0.03219908
ARG,Argentina,Argentine Peso,1975,81703.875,80492.95,26.078730999999998,9.155759,1989.69,2.2784617,80272.555,80190.54,175079.78,0.47619376,224960.3287228915,908191.7,1.0817531,0.508584,4.080714356421306e-10,0.5916518,0.5922569,0,0,1,0,,,0.7453286,0.16944143,0.089000516,0.1076381,-0.12723432,0.01582572,0.46226822070820833,1.031397272046183,0.837967059367629,0.30749318,0.346578,1.1828524,0.029211763
ARG,Argentina,Argentine Peso,1976,81377.9,82147.055,26.492715999999998,9.6564045,1986.54,2.299513,79639.46,81174.16,177198.64,0.45425275,224935.1960183137,942011.75,1.0291677,0.508584,2.048144699830001e-9,0.630341,0.61842364,0,0,1,0,,,0.6703224,0.18264431,0.092006214,0.08518827,-0.05494983,0.024788588,0.5197728918471748,1.0361561969075652,0.6303024860119147,0.3866412,0.46403602,1.1296055,0.0314068
ARG,Argentina,Argentine Peso,1977,84777.3,88074.25,26.899176999999998,9.9355955,1983.4,2.3207588,82880.97,86770.16,198186.4,0.4540694,239296.023625874,988699.8,1.0488505,0.508584,4.993675241414776e-9,0.6854056,0.6546845,0,0,1,0,,,0.6405816,0.20362753,0.08992958,0.14603248,-0.08088362,0.000712455,0.5909633389491995,0.9948112927157869,0.6575440968942187,0.36344317,0.48366138,1.1231123,0.0311284
ARG,Argentina,Argentine Peso,1978,82178.54,86990.805,27.303001,9.856798,1980.26,2.3422012,80065.48,85101.63,208479.12,0.43602705,231587.8230185715,1.022365e6,0.99787295,0.508584,1.205651392938679e-8,0.7347908,0.69130725,0,0,1,0,,,0.63490224,0.18225425,0.09573349,0.15642108,-0.07025829,0.00094724953,0.6325451603038592,1.0536590326055428,0.8058307534283435,0.31703424,0.42303333,1.1358857,0.0365042
ARG,Argentina,Argentine Peso,1979,89792.484,91911.51,27.711807999999998,9.91856,1977.13,2.3638415,87502.36,90657.26,225227.52,0.45177722,247838.63003747363,1.0596575e6,1.0410492,0.508584,2.831221487901347e-8,0.7795466,0.7524181,0,0,1,0,,,0.68697613,0.18247123,0.094452396,0.14375176,-0.10139238,-0.006259088,0.689910511554854,1.0665512024157047,0.8770321850731375,0.27868327,0.33866802,1.1527714,0.059204116
