countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR,QMPK,VMPK,log_QMPK,log_VMPK,log_phi,log_Y_div_K,log_PY_div_PK,open
CMR,cameroon,CFA Franc BEAC,1970,8439.981,9741.827,6.841762999999999,2.8917778,,1.2744807,8098.964,7842.069,14496.571,0.32179677,9993.665060395453,22759.273,1.1332723,0.55501497,276.4031370268448,0.14281109,0.14748938,0,0,0,0,,,0.73843074,0.17681135,0.24576713,0.11169595,-0.16248372,-0.110221446,0.1543267377334706,0.15590210191393084,0.09879321293124972,0.25792545,0.18997814,0.18099228,0.016390247,0.2880196,0.23470522,-1.2447268,-1.4494249,-0.8472433,-0.39748347,-0.20469816,0.0
CMR,cameroon,CFA Franc BEAC,1971,9079.309,10334.06,7.022124,2.95428,,1.295085,8701.501,8373.445,15390.326,0.329443,10341.415404949788,23770.258,1.1266012,0.55501497,275.356456685332,0.14903198,0.15487076,0,0,0,0,,,0.75045216,0.20379947,0.22711357,0.08984574,-0.16790533,-0.103305615,0.15946432460028173,0.15509663268219281,0.10911828117588805,0.27387682,0.17746949,0.17720906,0.015374044,0.2884686,0.25210536,-1.2431691,-1.3779082,-0.84487516,-0.39829394,-0.1347392,0.0
CMR,cameroon,CFA Franc BEAC,1972,9981.129,11308.573,7.210272,3.0189846,,1.3160223,9550.682,9154.015,16375.599,0.3393606,10617.928646879787,24843.648,1.1107252,0.55501497,252.0276274626486,0.17516004,0.18275014,0,0,0,0,,,0.66896975,0.2009028,0.24277057,0.05943207,-0.15401523,-0.018059969,0.19657806250298268,0.17756053546722478,0.11415473784617267,0.40041542,0.21191093,0.19658908,0.015920248,0.29630125,0.27544305,-1.2163786,-1.2893744,-0.84614736,-0.3702312,-0.07299583,0.0
CMR,cameroon,CFA Franc BEAC,1973,10347.526,11561.068,7.407756,3.0879447,,1.3372982,9879.598,9432.594,17411.795,0.32868943,11186.591010388775,25986.281,1.1227032,0.55501497,222.8891830532274,0.22998945,0.24088848,0,0,0,0,,,0.6402112,0.20918077,0.25907567,0.07328105,-0.11558396,-0.06616471,0.2682059972451872,0.22650662117802423,0.1383632581476166,0.5099739,0.3069672,0.23955348,0.015644064,0.28507343,0.28666207,-1.2550085,-1.2494512,-0.8455039,-0.4095046,0.005557325,0.0
CMR,cameroon,CFA Franc BEAC,1974,10682.646,11177.325,7.6165579999999995,3.1605115,,1.358918,10301.025,10018.386,18458.838,0.34725642,12387.389027766885,26891.941,1.1980139,0.55501497,240.7046676378228,0.2355931,0.24223967,0,0,0,0,,,0.65930545,0.1871351,0.28385574,0.13543281,-0.15026993,-0.11545917,0.2774568927974886,0.2555296057470176,0.12521356328161243,0.35123253,0.29047692,0.2950377,0.017418455,0.25890315,0.21257153,-1.3513012,-1.5484767,-0.84964526,-0.50165606,-0.19717549,0.0
CMR,cameroon,CFA Franc BEAC,1975,11956.072,12737.295,7.8379259999999995,3.2383795,,1.3808873,11592.349,11324.121,19474.617,0.3899977,13780.358204579345,27597.545,1.2882642,0.55501497,214.3129003412188,0.2749579,0.28147066,0,0,0,0,,,0.6785403,0.19952102,0.24228512,0.07078579,-0.14437547,-0.04675675,0.30918651939320435,0.2981695874110487,0.15998293351671047,0.5567948,0.3659205,0.4569423,0.015827192,0.28068897,0.17290084,-1.270508,-1.7550371,-0.84593046,-0.4245776,-0.48452893,0.0
CMR,cameroon,CFA Franc BEAC,1976,11760.347,12343.317,8.072879,3.313941,,1.4039406,11359.668,10954.207,19921.078,0.35869372,13023.108449697811,28431.416,1.1753192,0.55501497,238.9504942670586,0.30572996,0.31704628,0,0,0,0,,,0.6490021,0.18898623,0.28078502,0.08361607,-0.14770897,-0.0546804,0.34387840002921194,0.40438316512948086,0.15115431642392083,0.55766875,0.36754754,0.48677656,0.015316185,0.2662275,0.17339875,-1.3234041,-1.7521614,-0.8447405,-0.47866356,-0.42875743,0.0
CMR,cameroon,CFA Franc BEAC,1977,13302.786,13732.959,8.320635,3.3813643,,1.4273787,12838.679,12171.727,21443.65,0.37912717,14812.466818809833,29853.52,1.2817123,0.55501497,245.6796865665755,0.31641227,0.33375016,0,0,0,0,,,0.7009946,0.23016249,0.22014137,0.07721801,-0.15767665,-0.0708398,0.34076760103454534,0.3533995008516702,0.20018693955243286,0.7054216,0.38917157,0.44344333,0.019032678,0.27278873,0.20530984,-1.2990576,-1.583235,-0.8534278,-0.44562984,-0.28417736,0.0
CMR,cameroon,CFA Franc BEAC,1978,15936.288,17040.887,8.578425,3.4505587,,1.4512081,15356.365,15038.881,23998.795,0.438188,18071.654622068785,32271.285,1.4799186,0.55501497,225.6558602339574,0.34822518,0.35557655,0,0,0,0,,,0.6248535,0.27725548,0.20788443,0.06761317,-0.13661747,-0.040989093,0.41926153255506654,0.2874314818563424,0.2157866164820871,0.7496081,0.4908577,0.38996702,0.018868716,0.3025735,0.2758901,-1.195431,-1.2877526,-0.8530429,-0.3423881,-0.09232164,0.0
CMR,cameroon,CFA Franc BEAC,1979,16614.125,17280.82,8.842355,3.524148,,1.4754354,16002.824,15546.857,26166.525,0.43351433,19162.30044270601,34626.28,1.4893551,0.55501497,212.7216442623771,0.44467255,0.45771414,0,0,0,0,,,0.6506559,0.25656494,0.21187457,0.09673197,-0.14856361,-0.06726378,0.508715421729366,0.43972047710210843,0.2539968189409034,0.7504765,0.5500967,0.53499156,0.040833812,0.26690838,0.22835451,-1.3208498,-1.476856,-0.90596616,-0.4148837,-0.15600616,0.0
