countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,pl_gdpo_old,nom_p,nom_pp,pl_gdpe_old,nominal_gdpe,nominal_gdpo,nominal_gdp
AGO,Angola,Kwanza,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14711514,0.14711514,,,,
AGO,Angola,Kwanza,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15851773,0.15851773,,,,
AGO,Angola,Kwanza,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16074462,0.16074462,,,,
AGO,Angola,Kwanza,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16230953,0.16230953,,,,
AGO,Angola,Kwanza,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16391462,0.16391462,,,,
AGO,Angola,Kwanza,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16649814,0.16649814,,,,
AGO,Angola,Kwanza,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17234898,0.17234898,,,,
AGO,Angola,Kwanza,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17788753,0.17788753,,,,
AGO,Angola,Kwanza,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1812383,0.1812383,,,,
AGO,Angola,Kwanza,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18357855,0.18357855,,,,
AGO,Angola,Kwanza,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18603186,0.18603186,,,,
AGO,Angola,Kwanza,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18790318,0.18790318,,,,
AGO,Angola,Kwanza,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19012278,0.19012278,,,,
AGO,Angola,Kwanza,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1923803,0.1923803,,,,
AGO,Angola,Kwanza,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19541459,0.19541459,,,,
AGO,Angola,Kwanza,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19837736,0.19837736,,,,
AGO,Angola,Kwanza,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20375746,0.20375746,,,,
AGO,Angola,Kwanza,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20972022,0.20972022,,,,
AGO,Angola,Kwanza,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21816048,0.21816048,,,,
AGO,Angola,Kwanza,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22877465,0.22877465,,,,
AGO,Angola,Kwanza,1970,14200.9,30665.893,5.926333,2.545808,,,13817.759,13447.63,29250.314,,19990.933521634794,39665.555,,,2.862511e-8,0.20731422,0.21302028,0,0,0,0,,,0.29522637,0.31290257,0.4134176,0.08598403,-0.09418109,-0.013349429,0.33581945491655,0.16662698314480365,0.14634199421540617,0.36609867,0.29088414,0.25462997,0.881165,0.24058214,0.24058214,0.8617191,1.1907026e10,1.1849582e10,1.1849582e10
AGO,Angola,Kwanza,1971,15048.731,32498.35,6.047736,2.566327,,,14704.292,14456.98,31518.564,,21191.676041966784,42186.348,,,2.819112e-8,0.20505127,0.20855904,0,0,0,0,,,0.2892704,0.3104211,0.41081002,0.0844487,-0.10136965,0.0064193998,0.3356642267167822,0.1642970427916881,0.14387582133998164,0.35154417,0.29270956,0.24953553,0.8214948,0.25260025,0.25260025,0.811762,1.1936385e10,1.1876335e10,1.1876335e10
AGO,Angola,Kwanza,1972,15081.864,32144.406,6.179685,2.5969267,,,14832.501,14392.139,33836.945,,21227.412432105048,44648.04,,,2.7052815e-8,0.20934011,0.21574537,0,0,0,0,,,0.2880344,0.31528422,0.42179456,0.09794051,-0.09018688,-0.03286678,0.34860044714354,0.16793581110188097,0.1451912130179582,0.36577874,0.3058718,0.25291935,0.8147612,0.2636209,0.2636209,0.7940952,1.1778418e10,1.1726157e10,1.1726157e10
AGO,Angola,Kwanza,1973,16312.406,33946.2,6.322194,2.6401596,,,16085.065,15559.215,36488.29,,22949.906167740366,47387.824,,,2.451462e-8,0.2358495,0.24382041,0,0,0,0,,,0.28580406,0.31722286,0.4267124,0.13398787,-0.105069764,-0.058657426,0.39720680597976876,0.18882995035208222,0.1627302380539499,0.37387112,0.33154532,0.28130925,0.8726871,0.27883863,0.27883863,0.84582794,1.3605198e10,1.3578326e10,1.3578326e10
AGO,Angola,Kwanza,1974,16857.604,28103.35,6.4747959999999996,2.7674322,,,16885.785,16498.115,39504.91,,23671.78114127717,50162.12,,,2.54076008333333e-8,0.25173223,0.2576474,0,0,0,0,,,0.2769848,0.3194138,0.42358333,0.24390167,-0.12498953,-0.13889405,0.4313651498720336,0.19802661236197142,0.17476680091786018,0.3055042,0.3027632,0.29877913,0.84542596,0.3054797,0.3054797,0.8240555,1.3914825e10,1.3947936e10,1.3947936e10
