countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,pl_gdpo_old,nom_p,nom_pp,pl_gdpe_old,nominal_gdpe,nominal_gdpo,nominal_gdp,timber,oil,ng,coal,bauxite,copper,nickel,lead,phosphate,tin,zinc,gold,silver,iron,countrycode_1,phi_NR_timber,phi_NR_oil,phi_NR_ng,phi_NR_coal,phi_NR_nickel,phi_NR_lead,phi_NR_bauxite,phi_NR_copper,phi_NR_phosphate,phi_NR_tin,phi_NR_zinc,phi_NR_silver,phi_NR_iron,phi_NR_gold,tag_phi_NR_subsoil,phi_NR_subsoil,nominal_gdp_serb,nominal_gdp_mont,mnominal_gdp_serb,mnominal_gdp_mont,share_serb,phi_NR_timber_serb,phi_NR_subsoil_serb,mphi_NR_timber_serb,mphi_NR_subsoil_serb,share_mont,phi_NR_timber_mont,phi_NR_subsoil_mont,mphi_NR_timber_mont,mphi_NR_subsoil_mont
ALB,Albania,Lek,1970.0,8003.447,7998.1826,2.135599,0.69094074,,2.0767286,7816.1035,7850.5654,14457.964,,6819.207269022607,21071.791,,,5.0,0.30030134,0.29898313,0,0,0,0,,,0.43432125,0.3837054,0.17586781,0.0018187256,-0.0034092478,0.007696038,0.38495273420817233,0.27382692188707225,0.1490086800306808,0.9155328,1.0121981,0.4220985,1.236753,0.24058214,0.24058214,1.248228,9.756279e9,9.709211e9,9.709211e9,5.990110023360286e6,1.0964447241473155e7,961646.6451250998,,0.0,6.661798798558271e6,3.4214829267371604e6,,,,,,,,ALB,0.0006169512904121634,0.0011292830762544548,9.904478153435307e-5,,0.0003523955818076154,,0.0,0.0006861318655598124,,,,,,,0,0.0022668553051562357,,,,,,,,,,,,,,
ALB,Albania,Lek,1971.0,8324.033,8301.372,2.18865,0.71275073,,2.1053658,8141.7163,8160.576,16040.633,,7092.031262400912,23064.96,,,5.0,0.2965635,0.2958781,0,0,0,0,,,0.43171376,0.38645712,0.1777624,0.0028020618,-0.003396626,0.0046613067,0.3832739988080395,0.26899045495132773,0.14592242752175674,0.9241928,1.0151732,0.411933,1.1654366,0.25260025,0.25260025,1.1740428,9.558724e9,9.510634e9,9.510634e9,6.364900392270231e6,1.818648654649499e7,1.3973151189625966e6,882925.8245211546,0.0,4.98584798121382e6,3.630789199395771e6,,,,,,,,ALB,0.000669240353516602,0.0019122264191883198,0.00014692133522219595,9.283563834699958e-5,0.0003817609856548283,,0.0,0.0005242392590432087,,,,,,,0,0.003057983637455552,,,,,,,,,,,,,,
ALB,Albania,Lek,1972.0,8658.308,8649.002,2.2416229999999997,0.7351259,,2.134398,8479.194,8513.024,17698.248,,7376.698965132513,25083.201,,,5.0,0.29293922,0.29177514,0,0,0,0,,,0.4261228,0.38749295,0.18055111,0.0024180477,-0.0036789048,0.0070939525,0.3829436369885241,0.26444787425961563,0.14166502103026932,0.9237354,1.0217248,0.4014905,1.1018871,0.2636209,0.2636209,1.1112139,9.422199e9,9.380392e9,9.380392e9,6.68051973055752e6,2.5571712422666576e7,1.7360271599333936e6,956785.8639842304,0.0,5.4585917428186545e6,3.2491941842900333e6,,,,,,,,ALB,0.0007121791686463622,0.002726081447037159,0.00018506978938384025,0.00010199849542664466,0.0003463814951932125,,0.0,0.0005819151033412272,,,,,,,0,0.003941446330382084,,,,,,,,,,,,,,
ALB,Albania,Lek,1973.0,9004.773,8991.962,2.294578,0.75873315,,2.1638308,8818.034,8850.662,19451.459,,7673.088100298034,27133.69,,,5.0,0.28979158,0.28872323,0,0,0,0,,,0.42263234,0.390149,0.18199418,0.0041038133,-0.0051236,0.0062443377,0.38196254123949624,0.2602868922419741,0.13899985929741998,0.87967277,0.96947443,0.3909074,1.0334042,0.27883863,0.27883863,1.0392807,9.164413e9,9.146312e9,9.146312e9,7.765231180429627e6,4.020964046678188e7,2.897220541357166e6,816139.7202075789,0.0,1.0421457894928461e7,2.489868595166164e6,,,,,,,,ALB,0.000849001373680459,0.0043962683400246725,0.00031676381067271544,8.923156664256371e-5,0.00027222651952816065,,0.0,0.001139416440150054,,,,,,,0,0.006213906677018166,,,,,,,,,,,,,,
ALB,Albania,Lek,1974.0,9364.977,9366.273,2.347607,0.781267,,2.193669,9319.79,9365.007,21430.025,,7977.759137299955,29222.344,,,5.0,0.28202382,0.28066212,0,0,0,0,,,0.41577414,0.39631414,0.18122374,0.008101437,-0.010556944,0.0091435425,0.3775552005366335,0.24863553716631892,0.13586615427976648,0.79309326,0.80202615,0.3781092,0.92094487,0.3054797,0.3054797,0.9232162,8.60418e9,8.624654e9,8.624654e9,1.018985021791721e7,1.388235080634526e8,7.181352677723163e6,2.599609150237853e6,0.0,1.1877548367131466e7,1.3301374622356514e6,,,,,,,,ALB,0.0011814792594508927,0.01609612427990211,0.0008326539705768404,0.0003014160392941055,0.00015422501707500913,,0.0,0.0013771622495702379,,,,,,,0,0.0187615815564183,,,,,,,,,,,,,,
ALB,Albania,Lek,1975.0,9744.192,9718.11,2.400801,0.80437124,,2.223919,9818.051,9838.123,23434.697,,8301.11418586229,31349.584,,,5.0,0.27542436,0.2748624,0,0,0,0,,,0.4091826,0.4047332,0.18186086,0.009570464,-0.010771941,0.0054247975,0.3757564735840446,0.2382278793699267,0.13246065341897362,0.8041281,0.79704136,0.36641786,0.82405335,0.3337668,0.3337668,0.8252,8.1018557e9,8.107138e9,8.107138e9,1.2273770240357995e7,1.3600424366233903e8,1.0803681312365403e7,3.9205662823601584e6,0.0,7.512598700258492e6,3.808718570619335e6,,,,,,,,ALB,0.0015139461259557419,0.016775863795225585,0.0013326134633948451,0.00048359436574875486,0.0004697981640461804,,0.0,0.0009266647065559493,,,,,,,0,0.019988534494971316,,,,,,,,,,,,,,
ALB,Albania,Lek,1976.0,10131.138,10071.772,2.454255,0.8280555,,2.2572381,10148.556,10137.981,25064.57,,8635.64198704503,33529.484,,,5.0,0.27417597,0.27446195,0,0,0,0,,,0.41117784,0.40610772,0.18318217,0.0074375966,-0.0067280577,-0.0011772718,0.372902283970887,0.23876597756099577,0.13107356241149506,0.79057354,0.8024756,0.3628839,0.7783118,0.35279173,0.35279173,0.777161,7.887062e9,7.890511e9,7.890511e9,1.1800926918697676e7,1.5928775322897434e8,1.36300613783938e7,3.565690534178083e6,0.0,9.937954454436233e6,6.583156476586109e6,,,,,,,,ALB,0.001495584651745184,0.020187254830192503,0.001727399105198442,0.0004518960309245218,0.0008343130886455514,,0.0,0.0012594817554753375,,,,,,,0,0.024460344810436355,,,,,,,,,,,,,,
ALB,Albania,Lek,1977.0,10533.378,10464.862,2.508026,0.85130703,,2.2910564,10505.253,10487.724,27355.305,,8966.309723277269,35764.086,,,5.0,0.27226308,0.27271813,0,0,0,0,,,0.41580576,0.39699692,0.1860199,0.010031101,-0.008949667,9.600237e-5,0.36722686273263117,0.23987837825143044,0.12910712452939246,0.79520226,0.8075503,0.35119814,0.72728187,0.37612498,0.37612498,0.7238633,7.604367e9,7.627532e9,7.627532e9,1.4162727359423256e7,1.7561664330137002e8,1.5042388022909584e7,3.5940224335754705e6,0.0,8.698240616011942e6,6.323899027567976e6,,,,,,,,ALB,0.0018567903452052766,0.023024046108066982,0.0019721173853697207,0.00047119075201811,0.0008290885194954023,,0.0,0.0011403742221541343,,,,,,,0,0.027436816987104352,,,,,,,,,,,,,,
ALB,Albania,Lek,1978.0,10975.575,10976.636,2.562121,0.8758202,,2.3253813,10959.651,11015.061,29996.934,,9352.011808579853,38034.94,,,5.0,0.2686818,0.26733023,0,0,0,0,,,0.407656,0.39931557,0.18487015,0.0075723687,-0.009745106,0.010331004,0.36696523254730523,0.2342379871816842,0.1263555115493247,0.80329597,0.82135814,0.33476195,0.66613686,0.40297973,0.40297973,0.66673774,7.3072133e9,7.337538e9,7.337538e9,1.4919588796136627e7,1.9647708763035718e8,1.889507351556223e7,4.662964512873434e6,0.0,9.837855599446608e6,0.0,,,,,,,,ALB,0.002033323534206855,0.026776977011234868,0.002575124434375162,0.0006354944236567773,0.0,,0.0,0.0013407570134683147,,,,,,,0,0.031328352882735125,,,,,,,,,,,,,,
ALB,Albania,Lek,1979.0,11385.915,11216.415,2.61653,0.90024054,,2.3602204,11360.557,11259.962,32582.586,,9722.360922042888,40404.367,,,6.16712328767123,0.21634147,0.21827424,0,0,0,0,,,0.41210887,0.41531438,0.18581226,0.024259266,-0.018015318,-0.019479446,0.2947349834907712,0.18961998181814113,0.10220017919622276,0.6071569,0.63323575,0.2649151,0.50198406,0.43845466,0.43845466,0.4934181,5.6055045e9,5.652322e9,5.652322e9,1.6332343093753686e7,4.406257631190855e8,2.7521846412589878e7,3.2081952575190584e6,0.0,1.371940902719627e7,2.8366832043051366e6,,,,,,,,ALB,0.00288949279513237,0.07795482623489769,0.004869122358097668,0.0005675889263876961,0.0005018615904565146,,0.0,0.002427216554905632,,,,,,,0,0.08632061566474519,,,,,,,,,,,,,,
