Variable,Mean,Median,Coefficient of Variation,Correlation with per capita output
Natural Resources,8.191181182861328,4.007318019866943,1.4439681768417358,NaN
Timber,0.13112854957580566,0.0,3.763880729675293,NaN
Subsoil,5.441843032836914,0.7300267815589905,2.0973052978515625,NaN
Oil,NaN,NaN,NaN,NaN
Gas,NaN,NaN,NaN,NaN
Other,NaN,NaN,NaN,NaN
Crop Land,2.7624058723449707,1.2313101291656494,1.6412935425749924,NaN
Pasture Land,0.35621893405914307,0.17114028334617615,1.5337406396865845,NaN
Natural Resources with Urban Land,0.0,NaN,NaN,NaN
Observations,79.0,79.0,79.0,79.0
