SHCODE56,COUNTRY,YEAR,GDP,OPEN
1,ALGERIA,1950,,
1,ALGERIA,1951,,
1,ALGERIA,1952,,
1,ALGERIA,1953,,
1,ALGERIA,1954,,
1,ALGERIA,1955,,
1,ALGERIA,1956,,
1,ALGERIA,1957,,
1,ALGERIA,1958,,
1,ALGERIA,1959,,
1,ALGERIA,1960,1723.00,
1,ALGERIA,1961,1599.00,
1,ALGERIA,1962,1275.00,
1,ALGERIA,1963,1517.00,0.00
1,ALGERIA,1964,1589.00,0.00
1,ALGERIA,1965,1584.00,0.00
1,ALGERIA,1966,1548.00,0.00
1,ALGERIA,1967,1600.00,0.00
1,ALGERIA,1968,1758.00,0.00
1,ALGERIA,1969,1835.00,0.00
1,ALGERIA,1970,1826.00,0.00
1,ALGERIA,1971,1676.00,0.00
1,ALGERIA,1972,2011.00,0.00
1,ALGERIA,1973,2012.00,0.00
1,ALGERIA,1974,2256.00,0.00
1,ALGERIA,1975,2343.00,0.00
1,ALGERIA,1976,2456.00,0.00
1,ALGERIA,1977,2518.00,0.00
1,ALGERIA,1978,2591.00,0.00
1,ALGERIA,1979,2807.00,0.00
1,ALGERIA,1980,2758.00,0.00
1,ALGERIA,1981,2761.00,0.00
1,ALGERIA,1982,2823.00,0.00
1,ALGERIA,1983,2903.00,0.00
1,ALGERIA,1984,2962.00,0.00
1,ALGERIA,1985,2988.00,0.00
1,ALGERIA,1986,2970.00,0.00
1,ALGERIA,1987,2913.00,0.00
1,ALGERIA,1988,2769.00,0.00
1,ALGERIA,1989,2843.00,0.00
1,ALGERIA,1990,2777.00,0.00
1,ALGERIA,1991,2720.00,0.00
1,ALGERIA,1992,2719.00,0.00
2,ANGOLA,1950,,
2,ANGOLA,1951,,
2,ANGOLA,1952,,
2,ANGOLA,1953,,
2,ANGOLA,1954,
2,ANGOLA,1955,
2,ANGOLA,1956,
2,ANGOLA,1957,
2,ANGOLA,1958,
2,ANGOLA,1959,
2,ANGOLA,1960,931.00
2,ANGOLA,1961,976.00
2,ANGOLA,1962,984.00
2,ANGOLA,1963,1001.00
2,ANGOLA,1964,1013.00
2,ANGOLA,1965,1062.00
2,ANGOLA,1966,1066.00
2,ANGOLA,1967,1081.00
2,ANGOLA,1968,1078.00
2,ANGOLA,1969,1146.00
2,ANGOLA,1970,1165.00,
2,ANGOLA,1971,1149.00,
2,ANGOLA,1972,1130.00,
2,ANGOLA,1973,1195.00,
2,ANGOLA,1974,1110.00,
2,ANGOLA,1975,731.00,0.00
2,ANGOLA,1976,648.00,0.00
2,ANGOLA,1977,646.00,0.00
2,ANGOLA,1978,663.00,0.00
2,ANGOLA,1979,662.00,0.00
2,ANGOLA,1980,675.00,0.00
2,ANGOLA,1981,650.00,0.00
2,ANGOLA,1982,679.00,0.00
2,ANGOLA,1983,673.00,0.00
2,ANGOLA,1984,691.00,0.00
2,ANGOLA,1985,711.00,0.00
2,ANGOLA,1986,709.00,0.00
2,ANGOLA,1987,717.00,0.00
2,ANGOLA,1988,733.00,0.00
2,ANGOLA,1989,701.00,0.00
2,ANGOLA,1990,,0.00
2,ANGOLA,1991,,0.00
2,ANGOLA,1992,,0.00
3,BENIN,1950,,
3,BENIN,1951,,
3,BENIN,1952,,
3,BENIN,1953,,
3,BENIN,1954,,
3,BENIN,1955,,
3,BENIN,1956,,
3,BENIN,1957,,
3,BENIN,1958,,
3,BENIN,1959,1042.00,
3,BENIN,1960,1100.00,0.00
3,BENIN,1961,1116.00,0.00
3,BENIN,1962,1079.00,0.00
3,BENIN,1963,1129.00,0.00
3,BENIN,1964,1129.00,0.00
3,BENIN,1965,1191.00,0.00
3,BENIN,1966,1179.00,0.00
3,BENIN,1967,1148.00,0.00
3,BENIN,1968,1103.00,0.00
3,BENIN,1969,1059.00,0.00
3,BENIN,1970,1118.00,0.00
3,BENIN,1971,1098.00,0.00
3,BENIN,1972,1132.00,0.00
3,BENIN,1973,1149.00,0.00
3,BENIN,1974,1110.00,0.00
3,BENIN,1975,1052.00,0.00
3,BENIN,1976,1002.00,0.00
3,BENIN,1977,1023.00,0.00
3,BENIN,1978,1017.00,0.00
3,BENIN,1979,1056.00,0.00
3,BENIN,1980,1114.00,0.00
3,BENIN,1981,1177.00,0.00
3,BENIN,1982,1018.00,0.00
3,BENIN,1983,1008.00,0.00
3,BENIN,1984,1033.00,0.00
3,BENIN,1985,1108.00,0.00
3,BENIN,1986,1063.00,0.00
3,BENIN,1987,995.00,0.00
3,BENIN,1988,995.00,0.00
3,BENIN,1989,921.00,0.00
3,BENIN,1990,920.00,1.00
3,BENIN,1991,946.00,1.00
3,BENIN,1992,,1.00
4,BOTSWANA,1950,,
4,BOTSWANA,1951,,
4,BOTSWANA,1952,,
4,BOTSWANA,1953,,
4,BOTSWANA,1954,,
4,BOTSWANA,1955,,
4,BOTSWANA,1956,,
4,BOTSWANA,1957,,
4,BOTSWANA,1958,,
4,BOTSWANA,1959,,
4,BOTSWANA,1960,535.00,
4,BOTSWANA,1961,559.00,
4,BOTSWANA,1962,582.00,
4,BOTSWANA,1963,592.00,
4,BOTSWANA,1964,609.00,
4,BOTSWANA,1965,574.00,
4,BOTSWANA,1966,577.00,0.00
4,BOTSWANA,1967,688.00,0.00
4,BOTSWANA,1968,769.00,0.00
4,BOTSWANA,1969,804.00,0.00
4,BOTSWANA,1970,823.00,0.00
4,BOTSWANA,1971,875.00,0.00
4,BOTSWANA,1972,1013.00,0.00
